Type,Entries #,True Correct,True False,Detected False,Computational Steps,
non_priority,72,71,1,1,
priority,28,28,0,0,
non_priority,67,67,0,0,
priority,33,32,1,1,
non_priority,64,64,0,0,
priority,36,35,1,1,
non_priority,71,71,0,0,
priority,29,27,2,2,
non_priority,66,64,2,2,
priority,34,34,0,0,
non_priority,77,76,1,1,
priority,23,23,0,0,
non_priority,71,71,0,0,
priority,29,27,2,2,
non_priority,75,73,2,2,
priority,25,25,0,0,
non_priority,79,78,1,1,
priority,21,20,1,1,
non_priority,66,65,1,1,
priority,34,34,0,0,
non_priority,73,72,1,1,
priority,27,27,0,0,
non_priority,68,67,1,1,
priority,32,32,0,0,
non_priority,76,76,0,0,
priority,24,24,0,0,
non_priority,70,69,1,1,
priority,30,30,0,0,
non_priority,70,69,1,1,
priority,30,30,0,0,
non_priority,66,66,0,0,
priority,34,34,0,0,
non_priority,67,67,0,0,
priority,33,32,1,1,
non_priority,72,71,1,1,
priority,28,28,0,0,
non_priority,71,71,0,0,
priority,29,29,0,0,
non_priority,68,68,0,0,
priority,32,32,0,0,
non_priority,68,67,1,1,
priority,32,31,1,1,
non_priority,71,71,0,0,
priority,29,29,0,0,
non_priority,74,71,3,3,
priority,26,26,0,0,
non_priority,74,74,0,0,
priority,26,25,1,1,
non_priority,68,66,2,2,
priority,32,31,1,1,
non_priority,74,74,0,0,
priority,26,25,1,1,
non_priority,65,64,1,1,
priority,35,35,0,0,
non_priority,69,68,1,1,
priority,31,30,1,1,
non_priority,80,79,1,1,
priority,20,19,1,1,
non_priority,69,69,0,0,
priority,31,31,0,0,
non_priority,75,75,0,0,
priority,25,25,0,0,
non_priority,64,64,0,0,
priority,36,36,0,0,
non_priority,70,70,0,0,
priority,30,29,1,1,
non_priority,72,70,2,2,
priority,28,27,1,1,
non_priority,66,65,1,1,
priority,34,32,2,2,
non_priority,73,73,0,0,
priority,27,27,0,0,
non_priority,74,74,0,0,
priority,26,26,0,0,
non_priority,65,65,0,0,
priority,35,35,0,0,
non_priority,72,71,1,1,
priority,28,28,0,0,
non_priority,71,71,0,0,
priority,29,29,0,0,
non_priority,62,62,0,0,
priority,38,38,0,0,
non_priority,75,75,0,0,
priority,25,25,0,0,
non_priority,64,64,0,0,
priority,36,35,1,1,
non_priority,72,72,0,0,
priority,28,28,0,0,
non_priority,72,71,1,1,
priority,28,28,0,0,
non_priority,79,79,0,0,
priority,21,21,0,0,
non_priority,62,61,1,1,
priority,38,38,0,0,
non_priority,74,73,1,1,
priority,26,26,0,0,
